0    --------------------- Tests for Math ----------------------
      1.0   2.0   3.0
     -1.1   0.5   2.0
     -2.00  4.00  7.0
0      --------------------- Tests for Time ----------------------
0   100  xx UpCaseSt
0      Case
0   101  xx INITTIME
0
0   102  xx GETINTMON
0      May
0   103  xx GETINTDAY
0      Tue
0   104  xx DAYOFWEEK
0      2448088.5
0   105  xx DAYLIGHTST
0       1998
106  xx JULIANDAY
     1996 10 26 14 20 0.00
107  xx JULIANDAYALL
     1998  5 14 12 4 7.80000 G
108  xx DAY2MDHMS
     1998 245.34587623
109  xx INVJULIANDAY
     2449877.3458762
110  xx FINDDAYS
     1992  5  8  0 0 0.000
110
     2001 3 18 12 14 0.000
111  xx LSTIME
     -104.000  2448855.0097222
111  xx LSTIME
     298.2213  2446066.7833333
111  xx LSTIME
     -104.883  2451545.500000
112  xx SUNRISESETNEW
     2450165.75   40.0     0.000000 S
113  xx MOONRISESET
     2449809.5    40.0     0.000000
114  xx HMS_SEC
     12 34 56.233 TOO
115  xx HMS_UT
     13 22 45.98 TOO
116  xx HMS_RAD
     15 15 53.63 TOO
117  xx DMS_RAD
     -35  -15  -53.63 TOO
0         --------------------- Tests for 2body ---------------------
150  xx   ELORB
      1.1372844 -1.0534274 -0.8550194
      0.6510489  0.4521008  0.0381088
150  xx
      1.0561942 -0.8950922 -0.0823703
     -0.5981066 -0.6293575  0.1468194
150  xx
     -0.4222777  1.0078857  0.7041832
     -0.5002738 -0.5415267  0.4750788
150  xx
     -0.7309361 -0.6794646 -0.8331183
     -0.6724131  0.0341802  0.5620652
150  xx
     -3.5651640 -3.5651640  0.0000000
      0.3143612 -0.2555279  0.0000000
150  xx
      4.4279958  0.3873994 -0.0000000
      0.0842152 -0.4585911  0.0000000
150  xx
      0.9720220  2.0845079  0.0000000
     -0.5976017  0.2786662  0.0000000
150  xx
     -0.2004582  2.2912478 -0.0000000
      0.6568713  0.0574688 -0.0000000
150  xx
      0.5916109 -1.2889359 -0.3738343
      1.1486347 -0.0808249 -0.1942733
150  xx
     -1.0343646 -0.4814891  0.1735524
     0.1322278  0.7785322  1.0532856
150  xx
     0.9163903  0.7005747 -1.3909623
     0.1712704  1.1036199 -0.3810377
150  xx
     12.3160223 -7.0604653 -3.7883759
     -0.5902725  0.2165037  0.1628339
150  xx book
     1.023   1.076   1.011
     0.62    0.7    -0.25
151  xx RANDV p     a     ecc      incl     omega    argp     Nu        ArgLat  TrueLon  LonPer
     1.92000      2.000 0.200000  30.0000  30.0000 220.0000  65.0000   0.0000    0.0000   0.0000
151  xx RANDV
     1.48498      1.500 0.100000 170.0000 300.0000  25.0000 315.0000   0.0000    0.0000   0.0000
151  xx RANDV
     1.30001      1.300 0.000000  50.0000  80.0000   0.0000   0.0000  45.0000    0.0000   0.0000
151  xx RANDV
     1.30001      1.300 0.000000 115.0002 200.0000   0.0000   0.0000 315.0000    0.0000   0.0000
151  xx RANDV
     4.12800      4.300 0.200000   0.0000   0.0000   0.0000 205.0000   0.0000    0.0000  20.0000
151  xx RANDV
     4.25706      4.300 0.100000 180.0000   0.0000   0.0000 115.0000   0.0000    0.0000 240.0000
151  xx RANDV
     2.30000      2.300 0.000000   0.0000   0.0000   0.0000   0.0000   0.0000   65.0000   0.0000
151  xx RANDV
     2.30000      2.300 0.000000 180.0000   0.0000   0.0000   0.0000   0.0000  265.0000   0.0000
151  xx RANDV
     2.20000 999999.990 1.000000  15.0000  35.0000 200.0000  60.0000   0.0000    0.0000   0.0000
151  xx RANDV
     2.20000 999999.990 1.000000 120.0000 210.0000  35.0000 335.0000   0.0000    0.0000   0.0000
151  xx RANDV
     2.41503     -3.500 1.300000  55.0000  95.0000 215.0000  75.0000   0.0000    0.0000   0.0000
151  xx RANDV
     2.41519     -3.500 1.300000 165.0000 235.0000  35.0000 230.0000   0.0000    0.0000   0.0000
151  xx RANDV
     4.25706      4.300 0.100000 180.0000   0.0000   0.0000 115.0000   0.0000    0.0000 120.0000
151  xx RANDV
     1.50000      1.562 0.200000 180.0000   0.0000   0.0000 270.0000   0.0000  315.0000  45.0000
151  xx RANDV
     1.50000      1.562 0.200000  90.0000 270.0000 180.0000 225.0000  45.0000  315.0000   0.0000
151  xx RANDV
     1.50000      1.500 0.000000  60.0000 150.0000   0.0000   0.0000 270.0000  420.0000   0.0000
151  xx RANDV
     1.028985755  1.029014083    0.005246839   45.000000000  -38.784170000   69.628610000    0.00   0.000  0.000  0.00
152  xx FINDC2C3
     0.5678
153  xx NEWTONE
     0.34  334.567
154  xx NEWTONM
     0.4  235.40000
155  xx NEWTONNU
     0.34  134.567
156  xx KEPLER
     1.000000  0.000000  0.000000  | -0.320667  0.000000  1.236435  1.277340
     0.000000  0.000000  1.100000  | -0.879977  0.000000 -0.037311  0.880767
     2.00000000
156  xx KEPLER
     0.000000  1.000000  0.000000  |  0.000000 -1.000000  0.000000  1.000000
     0.000000  0.000000  1.000000  |  0.000000 -0.000000 -1.000000  1.000000
     3.14159265
156  xx KEPLER
     0.000000  0.000000 -0.500000  |  0.00000 181.70654 16508.13626 16509.136260
     0.000000  2.000000  0.000000  |  0.000000  0.000061  0.011006  0.011007
     1000000.00000000
156  xx KEPLER
     0.300000  1.000000  0.000000  | 13.962331 -0.117204  0.000000 13.962823
     3.000000  0.000000  0.000000  |  2.678114 -0.237595  0.000000  2.688633
     5.00000000
156  xx KEPLER
     0.500000  0.700000  0.800000  |  0.040156  0.266482  1.956624  1.975096
     0.000000  0.100000  0.900000  | -0.229145 -0.275504  0.041062  0.360688
     -20.00000000
156  xx KEPLER
     0.025917 -0.150689  1.138878  |  0.008536 -0.052990  0.386399  0.390109
     0.000361  0.001974  0.002177  |  0.041204 -0.243409  1.823540  1.840175
     1.50000000
156  xx KEPLER
     -0.500000  0.000000  0.000000  |152.676676 14.570929  0.00000 153.370399
      0.000000  1.999000  0.000000  |  0.095052  0.002525  0.000000  0.095086
     1000.00000000
156  xx KEPLER
     1.567900  0.000000  0.000000  | -4.825994  7.301369  0.000000  8.752154
     0.000000  1.163800  0.000000  | -0.457186  0.313585  0.000000  0.554395
     13.38600000
156  xx KEPLER
     0.000000  1.100000  0.000000  |
     1.414214  0.000000  0.000000  |
     2.22000000
156  xx KEPLER
     0.200000  0.000000  0.000000  |
     3.162277  0.000000  0.000000  |
     219.60000000
156  xx KEPLER
       1.61187749    2.27697231   -1.28226775    3.07033590   1  skills
      -0.42500561    0.26042226    0.05426795    0.50139259
     214.1765372  (2 days)
156  xx KEPLER
       2.75514150   -1.35504903    0.00000000    3.07033590   2  skills
       0.17280926    0.47067132    0.00000000    0.50139259
     214.1765372 (2 days)
156  xx KEPLER
      -2.38288473    0.11711527    0.74709060    2.50000000   3  skills
       0.02962808   -0.60282745    0.18900063    0.63245553
     214.1765372  (2 days)
156  xx KEPLER
      -1.76776695    1.76776695    0.00000000    2.50000000   4  skills
      -0.44721360   -0.44721360    0.00000000    0.63245553
     214.1765372 (2 days)
156  xx KEPLER  book
      0.17738000   -0.35784000    1.04614000    2.00000000   4  skills
     -0.71383000    0.54436000    0.30723000    0.63245553
      2.974674000  (40 mins)
0   157  xx FINDTOF
0     1.023  1.076   1.011
0     2.452  1.23   -2.345   1.567
158  xx IJKTOLATLONA
     1.023  1.076  1.011
     2449773.00000000
159  xx GEOCGEOD
     34.173429 TOO
160  xx SIGHT
     0.0   -0.7   -0.8
     0.0    0.9    0.5 E
161  xx SUN UT       Day Mon      Year
     2449444.500000
162  xx MOON
     2449470.5000000
163  xx LIGHT
     1.23  -2.31  1.32
     2448384.3454 E
164  xx CHECKHITEARTH
     2
0   165  xx SATFOV
0      12  23  4   5   7  23.43 4 4
166  xx RNGAZ Launch Lat         Lon          Target Lat       Lon
     10.0000       10.00000        20.0000       125.000
166  xx RNGAZ Launch Lat         Lon          Target Lat       Lon
     40.0000     -100.00000        60.0000       325.000
166  xx RNGAZ Launch Lat         Lon          Target Lat       Lon
     -50.0000       90.00000        35.0000        35.000
167  xx PATH Launch Lat         Lon          Range km       Az  deg
     10.0000       10.00000        2000.00       125.000
167  xx PATH Launch Lat         Lon          Range km       Az  deg
     40.0000     -100.00000        6000.00       325.000
167  xx PATH Launch Lat         Lon          Range km       Az  deg
     -50.0000       90.00000        3500.00        35.000
0      ---------------------  Tests for iod -----------------------
200  xx SITE
     29.800000    15.0000    350.2132809
0   201  xx ANGLESLAPLACE ESCpg 282  Hr Min Sec     Lat         Lon        Alt ft   Rt Asc      Decl  Esc pg 288
0      1959 Mar  2 18  4 57.67    35.673222  139.535250  190.28 223.1292076  23.999861
0      1959 Mar  2 19 19 13.52   -25.959639   28.247528 5065.62  86.8806664   2.136889
0      1959 Mar  2 19 21  8.99   -25.959639   28.247528 5065.62  98.8933747   7.925000
0   201  xx ANGLESLAPLACE ESCpg 282  Hr Min Sec     Lat         Lon        Alt ft   Rt Asc      Decl  ESC pg 288
0      1963 Oct 12  7  0  0.1099  40.000000  250.00000 16404.24 153.69490   36.27260
0      1963 Oct 12  7 20  0.1465  40.000000  250.00000 16404.24 186.72960   24.89180
0      1963 Oct 12  7 39 59.5239  40.000000  250.00000 16404.24 202.94750    9.87230
0   201  xx ANGLESLAPLACE ESCpg 282  Hr Min Sec     Lat         Lon        Alt ft   Rt Asc      Decl  ESC pg 289
0      1963 Jun  1 10 59 59.5605  36.459400  353.793500  259.19  96.76750   34.17590
0      1963 Jun  1 16  0  0.1099  36.459400  353.793500  259.19 182.55330   35.21270
0      1963 Jun  1 21  0  0.0000  36.459400  353.793500  259.19 215.09860    8.42890
0   201  xx ANGLESLAPLACE ESCpg 282  Hr Min Sec     Lat         Lon        Alt ft   Rt Asc      Decl  ESC pg 290
0      1959 Sep 28 19 39 27.226  -31.101800  136.754000  531.50  97.79090  -20.49790
0      1959 Sep 28 20 34 23.675   32.424100  253.448500 5416.67 285.33450   27.45520
0      1959 Sep 28 21 31 54.180   32.424100  253.448500 5416.67 299.45920   30.25570
0   201  xx ANGLESLAPLACE ESCpg 282  Hr Min Sec     Lat         Lon        Alt ft   Rt Asc      Decl  ESC pg 291
0      1959 Sep 26 21 25 37.403   36.463833  353.794861   78.74 254.67321   13.09275
0      1959 Sep 26 21 26 37.862   36.463833  353.794861   78.74 260.94112   13.28569
0      1959 Sep 26 21 27 45.919   36.463833  353.794861   78.74 269.85375   13.00425
0   202  xx ANGLESGAUSS
0      1959 Sep 26 21 25 37.403   36.463833  353.794861   78.74 254.67321   13.09275
0      1959 Sep 26 21 26 37.862   36.463833  353.794861   78.74 260.94112   13.28569
0      1959 Sep 26 21 27 45.919   36.463833  353.794861   78.74 269.85375   13.00425
203  xx RV_RADEC
      12756.00  0.00      0.00
          0.00  6.798614  0.00 TOO
204  xx RV_TRADEC
      12756.00  0.00      0.00
          0.00  6.798614  0.00
       4066.716  -2847.545  3994.302 TOO
205  xx RV_RAZEL  lat     lon       alt     UT     Day Mon  Yr
       0.2790794    -0.7751794     0.6374576     1.0417008
       0.2634728    -0.1492353     0.0519525     0.3072265
       0.2045751  -0.7510033  0.6262484
      39.007   285.2377912 TOO
205  xx RV_RAZEL  lat     lon       alt     UT     Day Mon  Yr
      -0.4691328     0.6521522     0.6485385     1.0324680
       0.0186569    -0.3501725    -0.5839385     0.6811410
      -0.4806057     0.6284403     0.6095710
      37.800   127.40730 TOO
205  xx RV_RAZEL  lat     lon       alt     UT     Day Mon  Yr
       1.0809849    -0.1864604     0.4319837     1.1789426
       0.8084630    -1.2700249     1.5558259     2.1649873
       0.8558456 -0.1476259  0.4940560
      29.800  350.2132809 TOO
205  xx RV_RAZEL  lat     lon       alt     UT     Day Mon  Yr
      -1.9999822    -0.0094157     0.0000000     2.0000044
       0.0062952    -1.3371525    -0.7040786     1.5112058
      -0.9999889    -0.0047078     0.0000000
       0.000  180.26974 TOO
205  xx RV_RAZEL  lat     lon       alt     UT     Day Mon  Yr
       0.1737448    -0.7983034     0.7892482     1.1359526
       0.5975069     0.5823526     0.6294953     1.0451858
       0.1588097    -0.6814766     0.7122471
      45.700 283.11795 TOO
205  xx RV_RAZEL  lat     lon       alt     UT     Day Mon  Yr
       3.6534007    -1.2975403     5.1773391     6.4680590
      -0.1535649     0.4116385     0.2048733     0.4847696
       0.2021303    -0.1003493     0.9709376
      77.000  333.59750 TOO
205  xx RV_RAZEL  lat     lon       alt     UT     Day Mon  Yr
      -0.2824806    -0.0709120     1.3206178     1.3523518
       0.7778328    -0.3392076     0.1526145     0.8621931
       0.0080091     0.2135659     0.9736285
      77.700 87.85233 TOO
205  xx RV_RAZEL  lat     lon       alt     UT     Day Mon  Yr
       1752246215.0   -3759563433.0  -1577568105.0
       -18.324  18.332  7.777
       4066.716  -2847.545  3994.302
       39.007  -35.00 TOO
206  xx RV_ELATLON
      12756.00  0.00      0.00
          0.00  6.798614  0.00 TOO
0   207  xx RVSEZ_RAZEL
0       0.0182965     0.0655308     0.0403975     0.0791266
0       0.0962701     0.1666685     0.2013948 TOO
0   207  xx RVSEZ_RAZEL
0       -0.0235178    -0.0235178     0.0332592     0.0470357
0        0.2831242     0.1506575    -0.5877343 TOO
0   207  xx RVSEZ_RAZEL
0        0.1674049    -0.0000000     0.1674049     0.2367462
0       -0.8468672    -1.1786567     1.6518851 TOO
0   207  xx RVSEZ_RAZEL
0       -0.0000000    -0.0000000     1.0000044     1.0000044
0        0.7040786     1.2194999     0.0000000 TOO
0   207  xx RVSEZ_RAZEL
0        0.0300774    -0.0119692     0.1369409     0.1407151
0       -0.7490089     0.6660222     0.1486337 TOO
0   207  xx RVSEZ_RAZEL
0        2.5845285     0.4623761     4.9137325     5.5712069
0       -0.3319557     0.0739467     0.1336243 TOO
0   207  xx RVSEZ_RAZEL
0       -0.3623081     0.2796248     0.2761454     0.5345218
0       -0.3191460    -0.7852064     0.0866149 TOO
0   207  xx RVSEZ_RAZEL
0       -0.3623081     0.2796248     0.2761454     0.5345218
0       -0.3191460    -0.7852064     0.0866149 TOO
208  xx RADEC_ELATLON
     294.98914583  -20.8234944 TOO
209  xx RADEC_AZEL
      294.98914583  -20.8234944   -35.000 39.007 TOO   x
210  xx GIBBS
     0.000000  0.000000  1.000000  1.000000
     0.000000 -0.700000 -0.800000  1.063015  0.000000  0.699670 -0.656745  0.959610   0
     0.000000  0.900000  0.500000  1.029563
210  xx GIBBS
     1.414225  0.000000  1.414202  2.000000
     1.810657  1.060669  0.310651  2.121320 -0.091254  0.312843 -0.533669  0.625300   0
     1.353540  1.414225 -0.646450  2.061553
210  xx GIBBS
      0.707113  0.000000  0.707101  1.000000
     -0.894979  0.565681 -0.949642  1.422252  0.000000  0.000000  0.000000  0.000000   1
     -0.094979 -0.565681 -0.894977  1.063015
210  xx GIBBS
      1.000000  0.000000  0.000000  1.000000
     -0.800000  0.600000  0.000000  1.000000 -0.600000 -0.800000  0.000000  1.000000   0
     0.800000 -0.600000  0.000000  1.000000
210  xx GIBBS
     0.207096  3.535528  1.207125  3.741657
     0.914201  4.949742  1.942347  5.395222  0.000000  0.000000  0.000000  0.000000   2
     1.621305  6.363955  2.621344  7.071068
210  xx GIBBS
      1.000000  0.000000  0.000000  1.000000
      0.000000  1.000000  0.000000  1.000000 -1.000000  0.000000  0.000000  1.000000   0
     -1.000000  0.000000  0.000000  1.000000
210  xx GIBBS
     7.000000  2.000000  0.000000  7.280110
     1.000000  1.000000  0.000000  1.414214  0.000000  0.000000  0.000000  0.000000   2
     2.000000  7.000000  0.000000  7.280110
210  xx GIBBS
      0.000000  2.700000  0.000000  2.700000
      2.970000  0.000000  0.000000  2.970000  0.058026 -0.580259  0.000000  0.583153   0
     -2.970000  0.000000  0.000000  2.970000
210  xx GIBBS
      0.000000  1.100000  0.000000  1.100000
     -1.212992 -2.057288  1.212992  2.678644  0.147548 -0.498558 -0.147548  0.540464   0
      0.000000 -3.300000  0.000000  3.300000
210  xx GIBBS
      0.000000  1.200000  0.000000  1.200000
     -1.212992 -2.157288  1.112992  2.713668  0.175211 -0.497436 -0.160767  0.551351   0
      0.000000 -3.400000  0.000000  3.400000
210  xx GIBBS
      1.200000  0.000000  0.000000
     -0.800000  0.000000  0.80012186
      0.000000  0.900000  0.000000
211  xx HERRGIBBS               sec from 0hr
      0.000000    1.100000    0.000000    43260.0000
     -1.212992   -2.057288    1.212992    47395.4800   -0.000000 -0.821443  0.000000  0.821443   0
      0.000000   -3.300000    0.000000    51530.9600
211  xx HERRGIBBS               sec from 0hr
      0.000000    1.200000    0.000000    41580.0000
     -1.212992   -2.157288    1.112992    45715.4500    0.003860 -0.777614 -0.003542  0.777631   0
      0.000000   -3.400000    0.000000    49790.9000
211  xx HERRGIBBS               sec from 0hr
     0.53618414  0.94382196  0.43658524      0.00000
     0.51957094  0.95496111  0.43247339     16.99170   0.003860 -0.777614 -0.003542  0.777631   0
     0.50281293  0.96583641  0.42824155     33.98650
211  xx HERRGIBBS               sec from 0hr
     0.53618414  0.94382196  0.43658524      0.00000
     0.46030868  0.99185440  0.41714307     76.47600   0.003860 -0.777614 -0.003542  0.777631   0
     0.38176536  1.03437523  0.39533848    153.03780
211  xx HERRGIBBS               sec from 0hr
      0.53618414  0.94382196  0.43658524      0.00000
     -1.04241241  0.71031097 -0.25535014   1639.70460   0.003860 -0.777614 -0.003542  0.777631   0
     -0.65533617 -1.15356018 -0.53360418   3756.96190
211  xx HERRGIBBS               sec from 0hr
     0.207096    3.535528    1.207125       254.17
     0.914201    4.949742    1.942347       339.52     0.000000  0.000000  0.000000   2
     1.621305    6.363955    2.621344       427.11
211  xx HERRGIBBS               sec from 0hr
      1.200000    0.000000    0.000000         0.0
     -0.800000    0.000000    0.80012186   36000.0
      0.000000    0.900000    0.000000     72000.0
212  xx LAMBERTUNIV
     0.500000  0.600000  0.700000               -0.122982  1.192161 -0.172175
     0.000000 -1.000000  0.000000     20.0000 L  0.669870  0.480483  0.937817
     20.0000 L N
212  xx LAMBERTUNIV
     0.300000  0.700000  0.400000                0.732624 -0.104733  0.976832
     0.600000 -1.400000  0.800000      5.0000 S -0.343869 -0.104733 -0.458492
      5.0000 S N
212  xx LAMBERTUNIV
     0.500000  0.600000  0.700000               -0.405367 -0.942813 -0.567514
     0.000000  1.000000  0.000000      1.2000 L  0.228187  1.146404  0.319461
     1.2000 L N
212  xx LAMBERTUNIV
     -0.200000  0.600000  0.300000               -0.161670  1.437742  0.718871
      0.400000  1.200000  0.600000     50.0000 S -0.161670 -0.961376 -0.480688
      50.0000 S N
212  xx LAMBERTUNIV
     1.000000  0.000000  0.000000                0.000000  0.000000  0.000000
     0.000000  1.000000  0.000000      0.0001 S  0.000000  0.000000  0.000000
      0.0001 S N
212  xx LAMBERTUNIV
    -0.400000  0.600000 -1.201000                0.255107 -0.382660 -0.573878
     0.200000 -0.300000  0.600000      5.0000 S -0.729215  1.093822  0.492026
       5.0000 S N
212  xx LAMBERTUNIV
     0.500000  0.600000  0.700000               -0.630879 -1.114246 -0.883231
     0.000000  1.000000  0.000000      0.9668 L  0.178595  1.555092  0.250033
      0.9668 L N
212  xx LAMBERTUNIV
     0.500000  0.600000  0.700000               -0.361380  0.769668 -0.505932
     0.000000  1.000000  0.000000      0.9668 S -0.601662 -0.022690 -0.842327
       0.9668 S N
212  xx LAMBERTUNIV
     1.200000  0.000000  0.000000                0.749786  0.709079  0.000000
     0.000000  2.000000  0.000000     10.0000 S -0.425447 -0.466155  0.000000
       10.0000 S N
212  xx LAMBERTUNIV
     4.000000  0.000000  0.000000                0.000000  0.000000  0.000000
    -2.000000  0.000000  0.000000     10.0000 S  0.000000  0.000000  0.000000
       10.00000 S N
212  xx LAMBERTUNIV
     2.000000  0.000000  0.000000                0.308330  0.715738  0.000000
    -2.000000 -0.200000  0.000000     20.0000 L  0.377841 -0.677954  0.000000
       20.00000 L N
212  xx LAMBERTUNIV
     1.000000  0.000000  0.000000                0.362854  1.008741  1.008741
     1.000000  1.000000  1.000000      1.0922 S -0.209494  0.799247  0.799247
        1.0922 S N
212  xx LAMBERTUNIV
     1.000000  0.000000  0.000000                0.062079  0.999036  0.999036
     1.000000  0.125000  0.125000      0.1250 S -0.061131  0.991395  0.991395
      0.1250 S N
212  xx LAMBERTUNIV    423
     1.050000    0.000000    0.000000
    -3.65171978 -2.00172677  0.000000     10.0000 S
       10.0000 S N
212  xx LAMBERTUNIV    423
     1.050000    0.000000    0.000000
    -3.76764653  1.77400005  0.000000      2.0000 S
       2.0000 S N
212  xx LAMBERTUNIV    423
     1.050000    0.000000    0.000000
     3.97397194  1.24178724  0.000000     35.0000 S
      35.00000 S N
212  xx LAMBERTUNIV    Prob 6-5
     2.500000    0.000000    0.000000
     1.9151111   1.6069690   0.000000     5.651881359 S
      5.651881359 S N
213  xx LAMBERTBATTIN
     0.300000  0.700000  0.400000                0.732624 -0.104733  0.976832
     0.600000 -1.400000  0.800000      5.0000 S -0.343869 -0.104733 -0.458492
     5.0000 S N
214  xx TARGET   lat        lon       alt km     Tlat      TLon       Q  TypePhi
    47.3000  -111.1600  0.0000000   43.3000    61.0000   0.870 H
214  xx TARGET   lat        lon       alt km     Tlat      TLon       Q  TypePhi
    47.4900  -111.3100  100.00000   55.7500    37.7000   0.870 B
214  xx TARGET   lat        lon       alt km     Tlat      TLon       Q  TypePhi
    47.4900  -111.3100  100.00000   68.9800    33.1300   0.870 B
214  xx TARGET   lat        lon       alt km     Tlat      TLon       Q  TypePhi
    47.4900  -111.3100  100.00000   32.9000    13.1800   0.870 B
214  xx TARGET   lat        lon       alt km     Tlat      TLon       Q  TypePhi
    48.2400  -101.2900  100.00000   55.7500    37.7000   0.870 B
214  xx TARGET   lat        lon       alt km     Tlat      TLon       Q  TypePhi
    48.2400  -101.2900  100.00000   68.9800    33.1300   0.870 B
214  xx TARGET   lat        lon       alt km     Tlat      TLon       Q  TypePhi
    48.2400  -101.2900  100.00000   32.9000    13.1800   0.870 B
214  xx TARGET   lat        lon       alt km     Tlat      TLon       Q  TypePhi
    38.7700   -93.7300  100.00000   55.7500    37.7000   0.870 B
214  xx TARGET   lat        lon       alt km     Tlat      TLon       Q  TypePhi
    38.7700   -93.7300  100.00000   68.9800    33.1300   0.870 B
214  xx TARGET   lat        lon       alt km     Tlat      TLon       Q  TypePhi
    38.7700   -93.7300  100.00000   32.9000    13.1800   0.870 B
300  xx InitNutation
       c:\tplib\nutation.dat
       c:\tplib\nut85.dat
0     301  xx CONVTIME
0           c:\tplib\asttime.rec
0           1990  5  14 10 43 0.00  -6 c
302  xx PRECESSION
      5102.5096  6123.01152  6378.1363
        -4.7432196  0.7905366  5.53375619  -0.087396904 TOO
303  xx NUTATION
     c:\tplib\nutation.dat
     c:\tplib\nut85.dat
      5119.88090216   6113.02274115   6373.79553072
        -4.73696426     0.79980013     5.53778179 0.004221619  23.4415984553  -0.087396903893 TOO
304  xx SIDEREAL
        5119.28082850   6113.23856466   6374.07052079
          -4.73718063     0.79936673     5.53765929 2448352.8274165301 0.004221619  23.44159846  TOO
305  xx POLARM
       -1120.59195387  7894.49147333  6374.07052079
          -3.18701324    -2.90526374     5.53765929 -0.2206  0.3014 TOO
306  xx TRUEMEAN
     c:\tplib\nutation.dat
     c:\tplib\nut85.dat
      5119.8809021   6113.0227412   6373.7955307
        -4.73696426     0.79980013     5.53778179 0.004221619  23.4415984553  -0.087396903893 TOO
307  xx FK4
      5102.5096  6123.01152  6378.1363
        -4.7432196  0.7905366  5.53375619  TOO
310  xx TESTALLREDUC
      5102.5096  6123.01152  6378.1363
        -4.7432196  0.7905366  5.53375619  -0.087396903893 TOO
      2448352.8274165301
     c:\tplib\nutation.dat
     c:\tplib\nut85.dat
     -0.2206  0.3014
0           ! -------------------- Tests for manv ---------------------
401  xx TestHohmann
       1.03    6.61   0.0   0.0   0.0  180.0
402  xx TestBiElliptic
       1.03    80.0   59.00   0.0   0.0   0.0  180.0
403  xx TestOneTangent
       1.03    6.61   0.0   0.0   0.0  160.0
404  xx TestIOnlyChg
       15.0   0.745356  0.0
404  xx TestIOnlyChg
       15.0   0.745356  -6.79
404  xx TestIOnlyChg
       15.0   0.745356  11.4558
405  xx TestNodeOnlyChg
        55.0   0.0   45.0   0.745356  0.0
406  xx TestIandNodeChg
        55.0    45.0  -15.0  0.745356  0.0
0    407  xx TestMinCombinedPlaneChg
0           1.046  6.6107   0.0  180.0   10.0  0.0
0    408  xx TestCombinedPlaneChg
0           1.029946  6.609909 0.0  0.0 0.0 0.0 0.0 0.0 180.0 -28.5
0    409  xx TestRendezvous
0            2.0  2.0   20.0  0.0 0.0 0.0 180.0
0    409  xx TestRendezvous
0            2.0  6.61   20.0  0.0 0.0 0.0 180.0
0    410  xx TestNonCoplanarRendz
0            0.0 28.5 45.0  200.0 1.12 6.61
411  xx TestHillsR
        0.0   0.0  0.0
